No.,Author,Comment
23,Peony Nguyen,"Đa số những lợi ích tác giả liệt kê cũng vẫn là tăng trải nghiệm khách hàng, tăng doanh thu cho doanh nghiệp. Còn thực tế KH vẫn gặp vô số những phiền toái, quấy rối từ việc khai thác, sử dụng dữ liệu vô trách nhiệm, vô đạo đức. Bên cạnh đó, hành lang pháp lý cho việc bảo vệ dữ liệu người dùng vẫn còn thiếu và yếu."
24,truongminh0707,"Bạn chỉ mới chỉ cho người ta mặt tốt của Big Data. Mình nghĩ cần một phân tích song song về tác động tiêu cực thì sẽ hay hơn rất nhiều, bởi nó cho thấy tính toàn diện của một vấn đề. Mặc dù đây vẫn là một ngành mới mẻ và tràn đầy triển vọng nhưng rủi ro mà nó có thể gây ra cũng cần phải xem xét thận trọng."
25,BestPhysics,Tác giả viết rất hay! Việt Nam chúng ta cần sử dụng và phát triển công nghệ thu nhập dữ liệu hiệu quả hơn và an toàn hơn.
26,VanDu Nguyen,"Chuyển đổi số, kinh tế số là định hướng chiến lược mà nhiều quốc gia đang theo đuổi. Để quá trình này thành công thì vai trò của dữ liệu là rất lớn.

Hoàn toàn đồng tình với tác giả, trong 10 năm nữa, sự phát triển của đất nước sẽ phụ thuộc nhiều vào việc khai thác dữ liệu. Thế nên, ngay từ bây giờ, các tổ chức, cá nhân cần tập trung vào việc xây dựng giải pháp thu thập, lưu trữ dữ liệu."
27,Nguyễn Thinh,"Thu thập dữ liệu tốt hay xấu phụ thuộc vào mục đích, ý định của người thu thập dữ liệu và quan trọng hơn dù là với bất cứ mục đích nào việc thu thập dữ liệu cá nhân của khách hàng phải được sự đồng thuận của khách hàng trước, điều này hiện nay đang bị bỏ qua"
28,Viet Vu,"
Data-driven là khái niệm đã có và được sử dụng hơn 10 năm nay rồi. Nhưng ở Việt Nam chúng ta thiếu cả về nhân lực, trình độ và cả về nhận thức của chủ doanh nghiệp để ứng dụng vào thực tế.
Làm dữ liệu là tốn về thời gian, tiền bạc; không phù hợp với doanh nghiệp nhỏ. Nhưng chưa chắc mang lại kết quả rõ rệt. Vì thế nhiều người không đủ kiên nhẫn để theo đuổi việc sử dụng dữ liệu."
29,nhatannguyen1991,Vì chưa có sự cam kết cũng như chế tài của luật đối với việc sử dụng dữ liệu người dùng nên việc hạn chế chia sẻ dữ liệu cá nhân là tất yếu.
30,truongtrivinh,"Những vấn đề hàm lượng kỹ thuật sâu như vậy thực sự cần những chuyên gia đẳng cấp, người có nghiên cứu, đào tạo bài bản và thực sự đã triển khai, có nhãn quan từ thị trường thế giới như tác giả Thông Đỗ .
Một bài viết tuyệt vời, Cảm ơn anh Thông và cảm ơn VnExpress."
31,Hoan,"iện nay các trường ĐH ở VN tổ chức dạy ngành dữ liệu lớn rất nhiều. Tại sao Guardian, hay các thương hiệu lớn không đến các cổng trường ĐH, uống cafe và tìm kiếm các SV đang theo học ngành này??"
32,Hàn Mạc Tử,Đúng vậy...có dữ liệu là có tất cả
33,Nguyễn Ngọc Trung,Nếu mọi sản phẩm có chất lượng tốt thì không cần quảng cáo.
