No.,Author,Comment
18,Geu Saram,"Cứ phát triển hạ tầng giao thông đi, bằng việc mở rộng đường, vỉa hè, sau đó phát triển giap thông công cộng, lúc đó mới tính chuyện cấm xe máy. Chứ chưa phát triển hình thức giao thông thay thế mà cấm một phương tiện phổ biến nhất thì bóp nghẹt giao thông và kinh tế."
19,Việt Thắng Vũ,Tại sao không cấm ôtô cá nhân?
20,manhduy47m,"Tôi là người đi ô tô tôi vẫn thấy ô tô mới chiếm nhiều diện tích. Cả cái xe kềnh càng có 1 ng đi. Họa hoằn lắm mới có hơn 1 người.
Xe máy tuy đông nhưng tối ưu diện tích.
Tất nhiên tập trung đi phương tiện công cộng thì vẫn là tốt hơn rồi."
21,hieu thao lam,xe điện có tính là xe máy không?
22,Ngọc,"ắc đường toàn do ô tô, 1 cái ô tô bằng 5 cái xe máy mà cấm xe máy"
23,eyesore,ần cầm cả ô tô vì ô tô còn gây ùn tắc khủng khiếp hơn: 1 ô tô chiếm đường bằng 5-6 xe máy.
24,Thái Hưng,huyển từ tắc 1km xe máy và ô tô sang tắc 10km ô tô thì chắc hơi mệt đấy.
25,lamvietza,"Muốn hạn chế phương tiện cá nhân , cần giải quyết nền kinh tế mặt đường ở nội đô Hà Nội và TP HCM . Cần đưa các bệnh viện và các trường đại học ra khỏi các vùng trung tâm , hạn chế mật độ xây dựng nhà ở và các cơ quan ở các quận trung tâm . Hạn chế các đầu xe của các hãng vận tải công nghệ trong nội đô , phát triển các thành phố vệ tinh và cuối cùng quan trọng nhất là phát triển giao thông công cộng tiện lợi an toàn"
26,tranconghuy50k,"Trong bài có 2 bức ảnh cũng đủ nói lên vấn đề . 10 làn oto dàn ngang . Đường đang quá nhỏ hẹp chứ không phải do mình xe máy . Cấm xe máy rồi liệu có hết tắc ? Nếu là tôi, tôi sẽ mua 1 chiếc oto cỏ chứ không sd phương tiện công cộng"
27,so3qtvbh,"nếu đã cấm xe thì phải cấm luôn xe hơi tư nhân trong một số thời gian.và hạn chế đăng ký xe mới.muốn cấm xe để tránh kẹt đường mà vẫn kinh doanh xe tự do, cho nhập xe và sản xuất khg hạn chế để làm gì?"
28,menismusthigh,Sao không có ý kiến đề xuất cấm ô tô cá nhân nhỉ?
29,Nguyễn Thành Danh,Giảm xe máy thì vẫn kẹt xe ô tô thôi. 
30,gianganh,"ấm xe cá nhân thì hợp lý hơn. Cấm xe máy thì sẽ tăng lượng ô tô. Mà ô tô nhiều thì sẽ vẫn tắc đường. Nhưng việc cấm phương tiện cá nhân chỉ là phần ngọn. Bài toán căn cơ là quy hoạch đô thị mở rộng, giãn dân. Phát triển đô thị vùng ven và tỉnh lân cận."
31,nguyenvan Kien,Sao cứ phải nghĩ cách cấm. Ngày xưa có cấm xe đạp đâu mà bây giờ có thấy xe đạp đâu
32,Tùng,"Tôi ủng hộ việc cấm xe máy. Cái này nên làm từ lâu rồi. Việc kinh doanh các dịch vụ như ăn uống, quần áo, mỹ phẩm ... sẽ dịch chuyển vào các ngõ nhỏ. Nói tóm lại lợi nhiều hơn. Tôi ủng hộ chủ trương này mặc dù tôi không có ô tô."
33,Thum,"Nói là hạn chế phương tiện cá nhân nhưng chỉ đề cập tới cấm xe máy, không hề nhắc tới xe hơi. Đã có những tính toán cho thấy năng lực vận chuyển người bằng xe máy tương đương tàu điện ngầm, vượt trội xe bus. Xe máy thực ra là cứu cánh cho điều kiện hạ tầng GT hiện nay. Giải bài toán GT đô thị phải bằng quy hoạch và phát triển hạ tầng."
34,Ngo At,Cấm xe máy kết hợp với thực trạng là ít chỗ đỗ ôtô có vẻ ổn đấy.
35,dream04062000," Khi nào mà  tổ chức giao thông công cộng an toàn, thuận tiện, nhanh chóng, chính xác giờ giấc, giá cả hợp lý di chuyển cho người dân, như người dân sử dụng phương tiện cá nhân thì mới hạn chế nổi."
36,Hồ Văn Thao,Tìm nguyên nhân tắc do cái gì rồi hãy cấm.
37,levanthai7292,"Hạn chế xe máy để sử dụng phương tiện công cộng là chủ trương đúng. Nhưng nghĩ đến cảnh phải ngồi trên chiếc xe buýt ọp ẹp, nhếc nhác và bẩn mà nổi da gà."
38,Nguyen Van Hoa,Trễ quá các vị ơi. Cần nhanh hơn nữa!!
39,buivantan141192,"hứ nhất cần mở rộng thêm mặt đường.
Thứ hai cần phân chia làn đường rõ ràng phạt nặng những trường hợp lấn làn.
thứ ba,phân làn riêng cho xe bus vì phần lớn xe bus ra vào điểm rất mất diện tích mặt đường gây ùn tắc.
Thứ tư tuyên truyền mạnh về văn hóa giao thông đưa mức phạt lên cao hơn"
40,nguyenxuanloc1973,Trước tiên là phải cấm lượng xe máy ở tỉnh vào tp. Xe tỉnh nào chạy ơ tỉnh đó thôi. Qua tỉnh khác thì đi xe Bus. Nên xe bus phải đa dạng tuyến và phải hoạt động 24h
41,hoangquochoa9,"10 Năm mới làm được 13,5 km đường sắt trên cao mà cứ bảo cấm thì đi bằng gì?"
42,truongdx54,Khi hệ thống giao thông công cộng chưa tốt xin đừng cấm người dân.
43,hiepdd78,"Xe máy có tội gì nhỉ, tôi gét xe máy lắm rồi biết đi bằng gì bây giờ, HN cấm chắc đi xe đạp"
44,KYHOI,xe công cộng được bao nhiêu % ???.
45,Fwin Dang,"hạ tầng cơ sở giao thông thì kém, còn các công trình tu sửa không đồng bộ, cứ lập đi lập lại, làm qua năm này qua năm khác( vi dụ triệu quang phục Q5,Tp HCM. )cản trở giao thông.còn lên kế hoạch cấm xe máy. đường xá thì hẹp, nếu dân trong cả tp đều đi lại bằng xe buýt, các bác làm ở sở giao thông có đáp ứng yêu cầu toàn dân tp đi xe buýt không? và bảo đảm không kẹt xe không?"
46,xuanngoan82,"Tại sao đề án là giảm xe cá nhân. Mà chả nhắc gì tới hạn chế ô tô, chỉ thấy nói hạn chế xe máy. Không lẽ ô tô không có xe cá nhân hay sao?"
47,trilinh2683,"Nước ra đã giàu đâu. Thay vì cấm xe máy thì nên phân làn hợp lý, csgt túc trực, sai làn là phạt thẳng tay thì đâu vào đó ngay."
48,sir.hahd,"

trời ơi, vấn đề ko phải ở xe máy, mà là xe chạy XĂNG.
tiếng ồn xe máy xăng đều hơn 60deciben.
giờ phải chuyển qua xe hidro. Xe máy điện đất hiếm cũng ko ổn lắm"
49,soncao68,Nếu cấm xe máy thì dừng sản xuất xe gắn máy ..đối với người nghèo đó là phương kế sinh sống hàng ngày..? Vậy nhà nước phải giải quyết sao đây ? Bài toán khó.
50,Hung Anh Nguyen,"Nên cấm xe máy, chạy 30 năm rồi thấy mệt quá"
51,Nam Nguyen,Xã hội văn minh và phát triển thì nên hạn chế xe máy và tiến tới cấm xe máy như Trung Quốc đã làm
52,Loc,Làm 1 tuyến tàu điện Metro cả chục năm chưa xong mà đã bàn đến cấm phương tiện cá nhân rồi...
53,vantrieu1234.vn,Bà con ở trong hẻm đi lại bằng gì để mưu sinh đây
54,sangphucwindow,"Ko cần cấm, oto giá rẻ ko ai đi xe máy đâu"
55,hugovn,"mạng lưới xe công cộng tệ hại, quy hoạnh đô thị hiện giờ chỉ hợp xe máy, phố nhỏ sâu hun hút chật hẹp tệ nạn nhiều không đi xe máy đi bộ lòng vòng trong đó ban đêm rất nguy hiểm. Nói chung cấm xe máy thì ảnh hưởng tới người lao động nghèo đến miếng cơm sinh sống của họ."
56,phanlap340,"Hạn chế xe máy thì giảm thuế chi phí xe oto xuống muc tối thiểu đi, k cách nào, nhà tôi giua nội kêu hạn chế kêu cấm lấy gì đi"
57,Nguyễn Sỹ Hùng,Chuẩn bị tiền mua ô tô ủng hộ thành phố chống ùn tắc thôi các bác ơi
58,Nguyen Cuong,bỏ bớt thuế cho ô tô nhập khẩu giá rẻ cho dân mua. xong hãy bỏ xe máy. bỏ vẫn tắc đường lúc đó ai chịu
59,hehe,"Nhìn ảnh thì kinh khủng quá, theo tôi cấm tiệt hết chỉ cho sử dụng xe công cộng, không thì cho đi bộ."
60,An Hoang,Hôm thứ 3 vừa rồi mình từ TP đi Đồng Nai có việc gia đình. Bình thường đi xe máy 100k vừa đi lẫn về chở 2 người. Hôm đó đi xe buýt thử. Chuyến đâu từ chợ Tân Bình đi Suối Tiên hết 7.5k 1 người. Xong từ ST đi nhà thờ Thái Hoà bắt xe 602 lấy 30k 1 người. Nguyên ngày hôm đó tiền xe tốn 150k tổng cộng. Thấy thà đi xe máy còn tiết kiệm hơn. Chứ đâu mà tốn hơn 50% tiền chứ đâu có ít đâu.
61,hung,Tăng đường là do chung cư xây dựng quá nhiều trong trung tâm! Tôi là cứ xe đạp Đi cho tiện!
62,Lê Quý Nam,"quan trọng là cái quy hoạch đô thị ấy, bao nhiêu bệnh viện trường học ở hết trung tâm hà nội thì bảo sao không tắc, sao không dãn ra ngoại thành ấy."
63,Tran Thuong,"cấm xe máy vậy những người chạy xe công nghệ thì sao,phải có ngoại lệ chứ"
64,corddiamond.bid,"Lộ trình đến 2030 lận nên mọi người chuẩn bị chuyển đổi đi, tập làm quen đi, chứ cứ than với vãn mãi được gì"
65,Khách qua đường,Tôi thấy hạ tầng của ta còn yếu kém và giao thông công cộng thì quá rời rạc không thể nào đáp ứng được nhu cầu đi lại của người dân.
66,Atarashii Nguyen,"Nếu không cấm xe cá nhân thì chả ai đi xe công cộng, xe bus cả. Vì đi xe bus, công cộng cả tiếng mới nhích 1km. Vậy nên cấm hết xe cá nhân lúc đó các phương tiện công cộng mới có khách đi"
67,Huy Đặng,"Cấm không khó. Giải quyết bài toán quy hoạch giao thông công cộng. Việc đầu tiên nên làm là cấm bán xe gắn máy xăng , sau đó 3 năm hạn chế dần nội đô ra ngoại thành .... hiện nay nếu quyết tâm làm thì nên báo các tiệm bán xe ngưng kinh doanh xe máy, để người ta chuyển hướng dần và có kế sinh nhai."
68,nguyenkimbinhtan1,"Cấm xe máy thì đa số người lao động đi làm bằng gì. giá ôtô ở Việt Nam thì trên trời làm sao mua nổi. Sao không tập trung tuyên truyền ý thức người dân để TP văn minh hỏn, tránh tình trạng ai cũng muốn vượt lên trước kẹt xe dài dài..."
69,hoi,"uối năm tôi mua ô tô, vay NH cũng mua. Cấm xe máy thì tốt quá. Chỉ thương những người ko mua được ô tô, họ đã vất vả, và sẽ vất vả hơn nữa nếu cấm xe máy. Theo tôi chúng ta cần mở rộng ngay xe dịch vụ công nhân, học sinh, sinh viên thêm nữa, thêm hệ thống xe buýt nhỏ, taxi những thứ làm được trước, sau đó cao hơn là brt, tàu cao tốc, tàu trên cao cần lộ trình ngắn kết hợp với lâu dài để người dân thích nghi."
70,Nguyễn Ngoc,"Có mở rộng hẻm khu vườn chuối p4 q3 vẫn nằm trên giấy, khu này nếu mở rộng sẽ thông đường rất nhiều .."
