No.,Paper name,Link,Authors,Year,Source,Cited,Description
10,Exploiting Linkage Information and Problem-Specific Knowledge in Evolutionary Distribution Network Expansion Planning,https://scholar.google.com//citations?view_op=view_citation&hl=vi&user=p3vHDZYAAAAJ&citation_for_view=p3vHDZYAAAAJ:_kc_bZDykSQC,"Ngoc Hoang Luong, Han La Poutré, Peter A.N. Bosman",2018,"Evolutionary Computation 26 (3), 471-505, 2018",16," This article tackles the Distribution Network Expansion Planning (DNEP) problem that has to be solved by distribution network operators to decide which, where, and/or when enhancements to electricity networks should be introduced to satisfy the future power demands. Because of many real-world details involved, the structure of the problem is not exploited easily using mathematical programming techniques, for which reason we consider solving this problem with evolutionary algorithms (EAs). We compare three types of EAs for optimizing expansion plans: the classic genetic algorithm (GA), the estimation-of-distribution algorithm (EDA), and the Gene-pool Optimal Mixing Evolutionary Algorithm (GOMEA). Not fully knowing the structure of the problem, we study the effect of linkage learning through the use of three linkage models: univariate, marginal product, and linkage tree. We furthermore experiment with …"
11,"Exploring trade-offs between target coverage, healthy tissue sparing, and the placement of catheters in HDR brachytherapy for prostate cancer using a novel multi-objective …",https://scholar.google.com//citations?view_op=view_citation&hl=vi&user=p3vHDZYAAAAJ&citation_for_view=p3vHDZYAAAAJ:Se3iqnhoufwC,"Krzysztof L Sadowski, Marjolein C van der Meer, Ngoc Hoang Luong, Tanja Alderliesten, Dirk Thierens, Rob van der Laarse, Yury Niatsetski, Arjan Bel, Peter AN Bosman",2017,"Proceedings of the Genetic and Evolutionary Computation Conference, 1224-1231, 2017",12,"Brachytherapy is a form of radiotherapy whereby a radiation source is guided near tumors, using devices such as catheter implants. In the present clinical workflow, catheters are first placed inside or close to the tumor based on clinical expertise. Subsequently, software is used to design a plan for the delivery of radiation. Treatment planning is essentially a multi-objective optimization problem, where conflicting objectives represent radiation delivered to tumor cells and healthy cells. However, current clinical software collapses this information into a single-objective, constrained optimization problem. Moreover, catheter positioning is typically not included. As a consequence, it is hard to obtain insight into the true nature of the trade-offs between key planning objectives and the placement of catheters. Such insights are however crucial in understanding how better treatment plans may be constructed. To obtain such …"
12,Scalable and practical multi-objective distribution network expansion planning,https://scholar.google.com//citations?view_op=view_citation&hl=vi&user=p3vHDZYAAAAJ&citation_for_view=p3vHDZYAAAAJ:WF5omc3nYNoC,"Ngoc Hoang Luong, Marinus OW Grond, Han La Poutré, Peter AN Bosman",2015,"2015 IEEE Power & Energy Society General Meeting, 1-5, 2015",11,"We formulate the distribution network expansion planning (DNEP) problem as a multi-objective optimization (MOO) problem with different objectives that distribution network operators (DNOs) would typically like to consider during decision making processes for expanding their networks. Objectives are investment cost, energy loss, total cost, and reliability in terms of the number of customer minutes lost per year. We consider two solvers: the widely-used Non-dominated Sorting Genetic Algorithm NSGA-II and the recently-developed Multiobjective Gene-pool Optimal Mixing Evolutionary Algorithm (MO-GOMEA). We also develop a scheme to get rid of the notoriously difficult-to-set population size parameter so that these solvers can more easily be used by non-specialists. Experiments are conducted on medium-voltage distribution networks constructed from real data. The results confirm that the MOGOMEA, with the …"
13,Medium-voltage distribution network expansion planning with gene-pool optimal mixing evolutionary algorithms,https://scholar.google.com//citations?view_op=view_citation&hl=vi&user=p3vHDZYAAAAJ&citation_for_view=p3vHDZYAAAAJ:W7OEmFMy1HYC,"Hoang N Luong, Marinus OW Grond, Peter AN Bosman, Han La Poutré",2013,"International Conference on Artificial Evolution (Evolution Artificielle …, 2013",10," Medium-voltage distribution network expansion planning involves finding the most economical adjustments of both the capacity and the topology of the network such that no operational constraints are violated and the expected loads, that the expansion is planned for, can be supplied. This paper tackles this important real-world problem using realistic yet computationally feasible models and, for the first time, using two instances of the recently proposed class of Gene-pool Optimal Mixing Evolutionary Algorithms (GOMEAs) that have previously been shown to be a highly efficient integration of local search and genetic recombination, but only on standard benchmark problems. One GOMEA instance that we use employs linkage learning and one instance assumes no dependencies among problem variables. We also conduct experiments with a widely used traditional Genetic Algorithm (GA). Our results show …"
14,Fine-tuning bert for sentiment analysis of vietnamese reviews,https://scholar.google.com//citations?view_op=view_citation&hl=vi&user=p3vHDZYAAAAJ&citation_for_view=p3vHDZYAAAAJ:L8Ckcad2t8MC,"Quoc Thai Nguyen, Thoai Linh Nguyen, Ngoc Hoang Luong, Quoc Hung Ngo",2020,"2020 7th NAFOSTED Conference on Information and Computer Science (NICS), 302-307, 2020",8,"Sentiment analysis is an important task in the field of Nature Language Processing (NLP), in which users' feedback data on a specific issue are evaluated and analyzed. Many deep learning models have been proposed to tackle this task, including the recently-introduced Bidirectional Encoder Representations from Transformers (BERT) model. In this paper, we experiment with two BERT fine-tuning methods for the sentiment analysis task on datasets of Vietnamese reviews: 1) a method that uses only the [CLS] token as the input for an attached feed-forward neural network, and 2) another method in which all BERT output vectors are used as the input for classification. Experimental results on two datasets show that models using BERT slightly outperform other models using GloVe and FastText. Also, regarding the datasets employed in this study, our proposed BERT fine-tuning method produces a model with better …"
15,"Efficient, effective, and insightful tackling of the high-dose-rate brachytherapy treatment planning problem for prostate cancer using evolutionary multi-objective optimization …",https://scholar.google.com//citations?view_op=view_citation&hl=vi&user=p3vHDZYAAAAJ&citation_for_view=p3vHDZYAAAAJ:5nxA0vEk-isC,"Ngoc Hoang Luong, Anton Bouter, Marjolein C Van Der Meer, Yury Niatsetski, Cees Witteveen, Arjan Bel, Tanja Alderliesten, Peter AN Bosman",2017,"Proceedings of the Genetic and Evolutionary Computation Conference Companion …, 2017",7,"We address the problem of high-dose-rate brachytherapy treatment planning for prostate cancer. The problem involves determining a treatment plan consisting of the so-called dwell times that a radiation source resides at different positions inside the patient such that the prostate volume and the seminal vesicles are covered by the prescribed radiation dose level as much as possible while the organs at risk, eg, bladder, rectum, and urethra, are irradiated as little as possible. The problem is highly constrained, following clinical requirements for radiation dose distribution while the planning process for treatment planners to design a clinically-acceptable treatment plan is strictly time-limited. In this paper, we propose that the problem can be formulated as a bi-objective optimization problem that intuitively describes trade-offs between target volumes to be radiated and organs to be spared. We solve this problem with the …"
16,Fast and insightful bi-objective optimization for prostate cancer treatment planning with high-dose-rate brachytherapy,https://scholar.google.com//citations?view_op=view_citation&hl=vi&user=p3vHDZYAAAAJ&citation_for_view=p3vHDZYAAAAJ:aqlVkmm33-oC,"Ngoc Hoang Luong, Tanja Alderliesten, Bradley R Pieters, Arjan Bel, Yury Niatsetski, Peter AN Bosman",2019,"Applied Soft Computing 84, 105681, 2019",6,"Purpose:Prostate high-dose-rate brachytherapy (HDR-BT) planning involves determining the movement that a high-strength radiation stepping source travels through the patient’s body, such that the resulting radiation dose distribution sufficiently covers tumor volumes and safely spares nearby healthy organs from radiation risks. The Multi-Objective Real-Valued Gene-pool Optimal Mixing Evolutionary Algorithm (MO-RV-GOMEA) has been shown to be able to effectively handle this inherent bi-objective nature of HDR-BT planning. However, in clinical practice there is a very restricted planning time budget (often less than 1 h) for HDR-BT planning, and a considerable amount of running time needs to be spent before MO-RV-GOMEA finds a good trade-off front of treatment plans (about20–30 min on a single CPU core) with sufficiently accurate dose calculations, limiting the applicability of the approach in the clinic. To …"
17,Heuristics in permutation gomea for solving the permutation flowshop scheduling problem,https://scholar.google.com//citations?view_op=view_citation&hl=vi&user=p3vHDZYAAAAJ&citation_for_view=p3vHDZYAAAAJ:ULOm3_A8WrAC,"GH Aalvanger, Ngoc Hoang Luong, Peter AN Bosman, Dirk Thierens",2018,"International Conference on Parallel Problem Solving from Nature, 146-157, 2018",6," The recently introduced permutation Gene-pool Optimal Mixing Evolutionary Algorithm (GOMEA) has shown to be an effective Model Based Evolutionary Algorithm (MBEA) for permutation problems. So far, permutation GOMEA has only been used in the context of Black-Box Optimization (BBO). This paper first shows that permutation GOMEA can be improved by incorporating a constructive heuristic to seed the initial population. Secondly, the paper shows that hybridizing with job swapping neighborhood search does not lead to consistent improvement. The seeded permutation GOMEA is compared to a state-of-the-art algorithm (VNS4) for solving the Permutation Flowshop Scheduling Problem (PFSP). Both unstructured and structured instances are used in the benchmarks. The results show that permutation GOMEA often outperforms the VNS4 algorithm for the PFSP with the total flowtime criterion."
18,Entropy-based substructural local search for the Bayesian optimization algorithm,https://scholar.google.com//citations?view_op=view_citation&hl=vi&user=p3vHDZYAAAAJ&citation_for_view=p3vHDZYAAAAJ:d1gkVwhDpl0C,"Hoang N Luong, Hai TT Nguyen, Chang Wook Ahn",2010,"Proceedings of the 12th annual conference on Genetic and evolutionary …, 2010",3,"A customary paradigm of designing a competent optimization algorithm is to combine an effective global searcher with an efficient local searcher. This paper presents and analyzes an entropy-based substructural local search method (eSLS) for the Bayesian Optimization Algorithm (BOA). The local searcher (the mutation operator) explores the substructural neighborhood areas defined by the probabilistic model encoded in the Bayesian network. The improvement of each local search step can be estimated by considering the variation this mutation causes to the entropy measurement of the population. Experiments show that incorporating BOA with eSLS results in a substantial reduction in the number of costly fitness evaluations until convergence. Moreover, this paper provides original insights into how the randomness of populations can be exploited to enhance the performance of optimization processes."
19,Improving the performance of MO-RV-GOMEA on problems with many objectives using tchebycheff scalarizations,https://scholar.google.com//citations?view_op=view_citation&hl=vi&user=p3vHDZYAAAAJ&cstart=20&pagesize=80&citation_for_view=p3vHDZYAAAAJ:Zph67rFs4hoC,"Ngoc Hoang Luong, Tanja Alderliesten, Peter AN Bosman",2018,"Proceedings of the Genetic and Evolutionary Computation Conference, 705-712, 2018",2,"The Multi-Objective Real-Valued Gene-pool Optimal Mixing Evolutionary Algorithm (MO-RV-GOMEA) has been shown to exhibit excellent performance in solving various bi-objective benchmark and real-world problems. We assess the competence of MO-RV-GOMEA in tackling many-objective problems, which are normally defined as problems with at least four conflicting objectives. Most Pareto dominance-based Multi-Objective Evolutionary Algorithms (MOEAs) typically diminish in performance if the number of objectives is more than three because selection pressure toward the Pareto-optimal front is lost. This is potentially less of an issue for MO-RV-GOMEA because its variation operator creates each offspring solution by iteratively altering a currently existing solution in a few decision variables each time, and changes are only accepted if they result in a Pareto improvement. For most MOEAs, integrating …"
20,Fast and insightful bi-objective HDR prostate brachytherapy planning,https://scholar.google.com//citations?view_op=view_citation&hl=vi&user=p3vHDZYAAAAJ&cstart=20&pagesize=80&citation_for_view=p3vHDZYAAAAJ:KlAtU1dfN6UC,"NH Luong, T Alderliesten, BR Pieters, A Bel, Y Niatsetski, PAN Bosman",2018,"Radiother Oncol 127, S130, 2018",2,DVI aims in the clinical protocol for High-Dose-Rate (HDR) prostate BT at AMC.Planning-aim Dose (PD)= 13.00 Gy
21,A novel differential evolution using multiple-deme based mutation,https://scholar.google.com//citations?view_op=view_citation&hl=vi&user=p3vHDZYAAAAJ&cstart=20&pagesize=80&citation_for_view=p3vHDZYAAAAJ:UeHWp8X0CEIC,"Dong-Hyun Lim, Hoang N Luong, Chang Wook Ahn",2012,"INTERNATIONAL JOURNAL OF INNOVATIVE COMPUTING INFORMATION AND CONTROL 8 (5A …, 2012",2,"Mutation strategy has been acknowledged to significantly influence the performance of differential evolution (DE). The popular DE/rand/1 can relatively maintain the diversity of population, but the algorithm often distributes its search effort widely among search space without any focus. On the other hand, greedy strategies, such as DE/best/1 or DE/current-to-best/1, have faster convergence speed, but they are likely to fall into local optima due to insufficient population diversity. In this paper, we propose a novel DE variant which is able to sustain the balance between exploration and exploitation. We introduce the concept of parallel computing into DE and design a multiple-deme based mutation operator (MDM) to enable information exchange among processing units. Experimental results over a number of numerical optimization problems prove that our proposed differential evolution, DE-MDM, outperforms the traditional DE approach in terms of the quality of the final achieved solutions."
22,Entropy-based evaluation relaxation strategy for Bayesian optimization algorithm,https://scholar.google.com//citations?view_op=view_citation&hl=vi&user=p3vHDZYAAAAJ&cstart=20&pagesize=80&citation_for_view=p3vHDZYAAAAJ:u-x6o8ySG0sC,"Hoang Ngoc Luong, Hai Thanh Thi Nguyen, Chang Wook Ahn",2010,"International Conference on Industrial, Engineering and Other Applications …, 2010",2," Bayesian Optimization Algorithm (BOA) belongs to the advanced evolutionary algorithms (EA) capable of solving problems with multivariate interactions. However, to attain wide applicability in real-world optimization, BOA needs to be coupled with various efficiency enhancement techniques. A BOA incorporated with a novel entropy-based evaluation relaxation method (eBOA) is developed in this regard. Composed of an on-demand evaluation strategy (ODES) and a sporadic evaluation method, eBOA significantly reduces the number of (fitness) evaluations without imposing any larger population-sizing requirement. Experiments adduce the grounds for its significant improvement in the number of evaluations until reliable convergence. Furthermore, the evaluation relaxation does not negatively affect the scalability performance."
23,A novel differential evolution incorporated with parallel processing mechanism,https://scholar.google.com//citations?view_op=view_citation&hl=vi&user=p3vHDZYAAAAJ&cstart=20&pagesize=80&citation_for_view=p3vHDZYAAAAJ:qjMakFHDy7sC,"Dong Hyun Lim, Hoang N Luong, Chang Wook Ahn",2010,"2010 2nd International Workshop on Intelligent Systems and Applications, 1-4, 2010",2,"In this paper, we introduce the parallel mechanism to the Differential Evolution (DE). Differential Evolution algorithm suffers from the problem that individuals gather in a single point and cannot escape the basin of a local optimum. We propose the parallel processing as a solution to this problem. Parallel processing helps DE maintain more than one best individual (attractor). Different attractors help DE expand its search towards various directions. We name our approach a differential evolution algorithm processed in the parallel fashion (P-DE). P-DE, when compared with the original DE in various test problems, exhibits its superior performance."
24,Training-Free Multi-objective Evolutionary Neural Architecture Search via Neural Tangent Kernel and Number of Linear Regions,https://scholar.google.com//citations?view_op=view_citation&hl=vi&user=p3vHDZYAAAAJ&cstart=20&pagesize=80&citation_for_view=p3vHDZYAAAAJ:ZeXyd9-uunAC,"Tu Do, Ngoc Hoang Luong",2021,"International Conference on Neural Information Processing, 335-347, 2021",1," A newly introduced training-free neural architecture search (TE-NAS) framework suggests that candidate network architectures can be ranked via a combined metric of expressivity and trainability. Expressivity is measured by the number of linear regions in the input space that can be divided by a network. Trainability is assessed based on the condition number of the neural tangent kernel (NTK), which affects the convergence rate of training a network with gradient descent. These two measurements have been found to be correlated with network test accuracy. High-performance architectures can thus be searched for without incurring the intensive cost of network training as in a typical NAS run. In this paper, we suggest that TE-NAS can be incorporated with a multi-objective evolutionary algorithm (MOEA), in which expressivity and trainability are kept separate as two different objectives rather than being …"
25,Insightful and practical multi-objective convolutional neural network architecture search with evolutionary algorithms,https://scholar.google.com//citations?view_op=view_citation&hl=vi&user=p3vHDZYAAAAJ&cstart=20&pagesize=80&citation_for_view=p3vHDZYAAAAJ:7PzlFSSx8tAC,"Tu Do, Ngoc Hoang Luong",2021,"International Conference on Industrial, Engineering and Other Applications …, 2021",1," This paper investigates a comprehensive convolutional neural network (CNN) representation that encodes both layer connections, and computational block attributes for neural architecture search (NAS). We formulate NAS as a bi-objective optimization problem, where two competing objectives, i.e., the validation accuracy and the model complexity, need to be considered simultaneously. We employ the well-known multi-objective evolutionary algorithm (MOEA) nondominated sorting genetic algorithm II (NSGA-II) to perform multi-objective NAS experiments on the CIFAR-10 dataset. Our NAS runs obtain trade-off fronts of architectures of much wider ranges and better quality compared to NAS runs with less comprehensive representations. We also transfer promising architectures to other datasets, i.e., CIFAR-100, Street View House Numbers, and Intel Image Classification, to verify their applicability …"
26,Enhancing Multi-objective Evolutionary Neural Architecture Search with Surrogate Models and Potential Point-Guided Local Searches,https://scholar.google.com//citations?view_op=view_citation&hl=vi&user=p3vHDZYAAAAJ&cstart=20&pagesize=80&citation_for_view=p3vHDZYAAAAJ:dhFuZR0502QC,"Quan Minh Phan, Ngoc Hoang Luong",2021,"International Conference on Industrial, Engineering and Other Applications …, 2021",1," In this paper, we investigate two methods to enhance the efficiency of multi-objective evolutionary algorithms (MOEAs) when solving Neural Architecture Search (NAS) problems. The first method is to use a surrogate model to predict the accuracy of candidate architectures. Only promising architectures with high predicted accuracy values would then be truly trained and evaluated while the ones with low predicted accuracy would be discarded. The second method is to perform local search for potential solutions on the non-dominated front after each MOEA generation. To demonstrate the effectiveness of the proposed methods, we conduct experiments on benchmark datasets of both macro-level (MacroNAS) and micro-level (NAS-Bench-101, NAS-Bench-201) NAS problems. Experimental results exhibit that the proposed methods achieve improvements on the convergence speed of MOEAs toward Pareto …"
27,Distribution system,https://scholar.google.com//citations?view_op=view_citation&hl=vi&user=p3vHDZYAAAAJ&cstart=20&pagesize=80&citation_for_view=p3vHDZYAAAAJ:Wp0gIr-vW9MC,"Nikolaos C Koutsoukis, Pavlos S Georgilakis, Nikos D Hatziargyriou, Osama Mohammed, Ahmed Elsayed, Kyungsung An, Kyeon Hur, Ngoc Hoang Luong, Peter AN Bosman, Marinus OW Grond, Han La Poutré, Hsiao‐Dong Chiang, Jinda Cui, Tianshi Xu, Eduardo N Asada, João Bosco A London Jr, Filipe O Saraiva, Wei Sun, Kumar Venayagamoorthy, Qun Zhou, Shuo Wang, Yong‐Feng Zhang, Digvijay Gusain, Jose Rueda, Jens C Boemer, Peter Palensky, David L Alvarez, Sergio Rivera",2020,"Applications of Modern Heuristic Optimization Methods in Power and Energy …, 2020",1," This chapter presents meta‐heuristic optimization techniques for the solution of complex power distribution system problems. These include active distribution networks (ADN) planning, optimal selection of distribution system architecture, conservation voltage reduction (CVR) planning, and dynamic distribution network expansion planning with demand side management. It also includes capacitor placement, distribution system reconfiguration and service restoration, and parameter identification of dynamic equivalents for ADNs. The chapter provides good examples of how the use of meta‐heuristic optimization techniques has improved modeling, has allowed to provide better results than with alternative models, or even has allowed to obtain results that were not previously at hand with conventional models. The chapter serves a framework for evaluating the performance of large‐scale CVR in grid planning …"
